Unique ID, Nationality, DOB, Marital Status, Number of Children, Work Reason, Characteristics, Work Skill, Reason for Leaving ,Current Job, Previous Jobs, Start Date, Current Job Start Date, End Date
2390,English,25/3/1965,Single,4,CULTURE,['Scar on face'],['Strong'],Exhaustion,Boulder_Reducer,['Boulder_Reducer'; 'Computer_Repair'],5/13/2014,10/21/2018,NA
965,Russian,12/12/1985,Other,4,PARENTS,['No teeth'],['Mathematics'; 'Typing'],Voluntarily,Construction,NA,7/22/2010,7/22/2010,NA
2,Russian,27/7/1969,Single,4,DEBT,['Dark skin'; 'Long legs'],['Mathematics'; 'Shoe-making'],NA,NA,['Office_Worker'],11/10/2010,NA,6/12/2018
9520,German,17/4/1975,Other,2,CULTURE,['No teeth'; 'Crafty'],['Construction'; 'Mechanical'],Exhaustion,Computer_Repair,['Farmer'; 'Office_Worker'],3/25/2016,3/12/2018,NA
972,German,14/12/1969,Other,5,BEHAVIOR,['Scar arm'],['Mathematics'; 'Strong'],Exhaustion,Boulder_Reducer,['Computer_Repair'; 'Computer_Repair'; 'Office_Worker'],5/2/2010,12/24/2018,NA
2853,English,15/10/1985,Married,4,CULTURE,['Scar arm'],['Mathematics'],Voluntarily,Farmer,NA,1/20/2012,1/20/2012,NA
1853,Russian,15/2/1987,Other,1,PARENTS,['Long legs'; 'One arm'],['Strong'],Time,Ditch_Digger,['Farmer'],9/20/2012,5/9/2017,NA
5419,Russian,23/9/1987,Single,1,BEHAVIOR,['Crafty'],['Electrical'],Time,Farmer,['Shoe_Tester'],1/12/2014,9/24/2017,NA
2992,Israeli,12/11/1965,Single,5,BEHAVIOR,['One arm'],['Strong'; 'Electrical'],Exhaustion,Farmer,['Shoe_Tester'; 'Food_TesterCivilian_Guard'; 'Food_TesterCivilian_Guard'; 'Ditch_Digger'],2/16/2016,11/4/2017,NA
3154,Israeli,26/4/1975,Other,4,DEBT,['No teeth'; 'Dark skin'],['Construction'],Voluntarily,Construction,['Ditch_Digger'; 'Farmer'; 'Food_TesterCivilian_Guard'; 'Food_TesterCivilian_Guard'; 'Computer_Repair'; 'Boulder_Reducer'],9/12/2012,11/6/2018,NA
8479,English,7/12/1965,Single,7,CULTURE,['One arm'; 'One arm'],['Typing'; 'Mechanical'],Voluntarily,Construction,['Office_Worker'; 'Ditch_Digger'; 'Construction'; 'Food_TesterCivilian_Guard'],8/9/2016,4/12/2017,NA
1879,Russian,26/5/1969,Married,4,PARENTS,['Crafty'],['Typing'; 'Electrical'],Voluntarily,Construction,['Ditch_Digger'; 'Construction'],1/6/2016,3/8/2017,NA
1507,German,9/7/1969,Other,0,PARENTS,['Tattoo back'; 'Low IQ'],['Computer'; 'Shoe-making'],Voluntarily,Computer_Repair,NA,1/15/2012,1/15/2012,NA
4297,Israeli,5/2/1985,Married,6,CULTURE,['Dark skin'; 'Low IQ'],['Electrical'; 'Typing'],NA,NA,['Construction'],12/12/2016,NA,4/5/2017
7224,Italian,23/8/1987,Married,0,PARENTS,['Scar on face'; 'Tattoo forearm'],['Typing'; 'Construction'],Voluntarily,Shoe_Tester,['Boulder_Reducer'; 'Ditch_Digger'; 'Ditch_Digger'; 'Farmer'; 'Food_TesterCivilian_Guard'],6/10/2014,11/1/2018,NA
3406,Ghanaian,26/9/1979,Married,7,CULTURE,['Scar on face'],['Strong'],Time,Computer_Repair,['Construction'; 'Ditch_Digger'; 'Construction'],3/6/2016,10/14/2019,NA
6090,Israeli,7/3/1985,Married,3,CULTURE,['Tattoo back'],['Electrical'; 'Mechanical'],Exhaustion,Construction,['Food_TesterCivilian_Guard'; 'Office_Worker'; 'Farmer'; 'Shoe_Tester'],6/9/2010,3/11/2018,NA
6210,American,1/8/1969,Married,6,PARENTS,['Dark skin'; 'Crafty'],['Electrical'; 'Computer'],NA,NA,['Boulder_Reducer'; 'Boulder_Reducer'],7/24/2014,NA,3/3/2018
5360,Italian,27/9/1969,Married,5,CULTURE,['One arm'],['Typing'; 'Computer'],NA,NA,['Ditch_Digger'],2/6/2012,NA,2/7/2019
848,American,15/5/1965,Married,7,DEBT,['Scar on face'; 'Tattoo back'],['Typing'; 'Electrical'],Exhaustion,Farmer,['Ditch_Digger'; 'Computer_Repair'],12/19/2010,8/25/2017,NA
1867,Ghanaian,24/10/1969,Single,6,CULTURE,['Tattoo forearm'; 'One arm'],['Shoe-making'],Voluntarily,Ditch_Digger,['Food_TesterCivilian_Guard'; 'Boulder_Reducer'],1/19/2012,6/12/2017,NA
3782,Russian,4/2/1987,Married,3,BEHAVIOR,['Scar arm'; 'Scar on face'],['Shoe-making'; 'Strong'],Exhaustion,Computer_Repair,['Construction'; 'Boulder_Reducer'; 'Farmer'; 'Construction'; 'Ditch_Digger'],1/18/2012,5/21/2019,NA
6451,German,16/12/1975,Single,3,CULTURE,['Scar arm'],['Mechanical'; 'Mechanical'],Voluntarily,Construction,['Office_Worker'; 'Office_Worker'; 'Ditch_Digger'; 'Boulder_Reducer'],2/11/2012,7/23/2018,NA
4521,American,8/8/1985,Married,7,CULTURE,['Dark skin'; 'Tattoo back'],['Electrical'; 'Construction'],NA,NA,['Farmer'; 'Office_Worker'],3/23/2016,NA,11/13/2019
3184,American,6/7/1965,Other,1,BEHAVIOR,['Crafty'],['Shoe-making'],NA,NA,['Office_Worker'; 'Food_TesterCivilian_Guard'; 'Boulder_Reducer'],6/19/2010,NA,12/19/2017
6824,English,18/3/1969,Single,7,BEHAVIOR,['Low IQ'],['Strong'],Voluntarily,Boulder_Reducer,['Office_Worker'; 'Boulder_Reducer'],10/12/2016,12/23/2018,NA
1362,Ghanaian,7/1/1979,Married,4,DEBT,['Low IQ'; 'Low IQ'],['Typing'],Voluntarily,Food_TesterCivilian_Guard,['Food_TesterCivilian_Guard'; 'Ditch_Digger'; 'Farmer'; 'Ditch_Digger'; 'Ditch_Digger'],12/14/2012,8/13/2017,NA
1761,American,25/6/1995,Married,1,BEHAVIOR,['Dark skin'],['Construction'; 'Mechanical'],NA,NA,['Boulder_Reducer'],5/2/2012,NA,9/2/2018
5211,German,21/12/1965,Single,3,CULTURE,['Long legs'],['Mechanical'],Voluntarily,Food_TesterCivilian_Guard,['Shoe_Tester'; 'Construction'; 'Construction'; 'Computer_Repair'; 'Computer_Repair'; 'Food_TesterCivilian_Guard'],6/23/2010,6/2/2017,NA
3942,Israeli,3/10/1975,Other,4,BEHAVIOR,['Tattoo forearm'; 'One arm'],['Shoe-making'; 'Electrical'],Voluntarily,Computer_Repair,['Shoe_Tester'; 'Construction'; 'Boulder_Reducer'],9/17/2010,5/12/2018,NA
615,Russian,25/9/1975,Other,4,BEHAVIOR,['Crafty'],['Computer'; 'Mechanical'],NA,NA,['Construction'],10/22/2012,NA,12/26/2019
5845,Italian,14/3/1995,Married,5,PARENTS,['Scar on face'; 'No teeth'],['Mechanical'],Time,Office_Worker,['Construction'; 'Office_Worker'; 'Office_Worker'],7/15/2014,12/13/2019,NA
5172,English,4/9/1975,Single,3,CULTURE,['Crafty'; 'Tattoo forearm'],['Typing'],Time,Farmer,['Boulder_Reducer'],11/20/2010,6/9/2019,NA
7257,American,8/6/1975,Married,3,DEBT,['Tattoo back'; 'Low IQ'],['Electrical'],NA,NA,['Food_TesterCivilian_Guard'; 'Office_Worker'],8/20/2010,NA,10/6/2018
7577,German,1/4/1979,Married,7,DEBT,['Scar arm'],['Mechanical'],Exhaustion,Shoe_Tester,['Office_Worker'; 'Farmer'; 'Farmer'],2/9/2012,10/18/2017,NA
7944,Russian,19/3/1979,Single,5,CULTURE,['Scar arm'],['Typing'],Exhaustion,Boulder_Reducer,['Farmer'; 'Shoe_Tester'; 'Computer_Repair'; 'Shoe_Tester'],7/8/2016,11/27/2019,NA
6558,Ghanaian,11/1/1979,Other,2,PARENTS,['Scar on face'],['Shoe-making'; 'Mechanical'],NA,NA,['Computer_Repair'],6/3/2016,NA,8/19/2018
20,Italian,7/4/1979,Single,3,PARENTS,['Scar on face'],['Mechanical'],Voluntarily,Shoe_Tester,['Office_Worker'; 'Shoe_Tester'; 'Ditch_Digger'; 'Office_Worker'; 'Construction'],4/13/2010,12/1/2019,NA
3166,Ghanaian,20/3/1987,Single,3,CULTURE,['Tattoo forearm'; 'Tattoo forearm'],['Typing'; 'Typing'],Exhaustion,Shoe_Tester,['Ditch_Digger'; 'Food_TesterCivilian_Guard'],6/16/2010,4/22/2019,NA
3730,Italian,6/12/1969,Married,4,BEHAVIOR,['Tattoo forearm'],['Computer'],Time,Computer_Repair,['Ditch_Digger'; 'Office_Worker'; 'Construction'; 'Ditch_Digger'; 'Office_Worker'],9/22/2010,10/25/2018,NA
6008,American,26/1/1969,Other,6,BEHAVIOR,['Tattoo back'; 'Crafty'],['Strong'],Voluntarily,Boulder_Reducer,['Ditch_Digger'],11/23/2012,2/1/2018,NA
2740,German,27/1/1965,Single,0,BEHAVIOR,['Tattoo back'],['Mathematics'],NA,NA,['Farmer'; 'Farmer'; 'Boulder_Reducer'],12/26/2010,NA,11/3/2019
7624,Italian,5/3/1979,Married,4,DEBT,['Crafty'],['Construction'; 'Computer'],Time,Computer_Repair,['Boulder_Reducer'; 'Ditch_Digger'; 'Food_TesterCivilian_Guard'; 'Boulder_Reducer'; 'Food_TesterCivilian_Guard'; 'Food_TesterCivilian_Guard'],4/20/2010,9/27/2019,NA
1455,English,23/2/1995,Married,3,BEHAVIOR,['Dark skin'],['Computer'; 'Typing'],Time,Construction,['Construction'; 'Office_Worker'; 'Computer_Repair'; 'Food_TesterCivilian_Guard'; 'Computer_Repair'],1/20/2016,9/25/2018,NA
5362,American,13/10/1965,Married,6,PARENTS,['Tattoo back'; 'Long legs'],['Strong'; 'Shoe-making'],Time,Computer_Repair,['Farmer'; 'Boulder_Reducer'; 'Ditch_Digger'; 'Construction'; 'Farmer'],12/8/2010,10/11/2017,NA
6054,Russian,14/8/1975,Single,4,BEHAVIOR,['Tattoo forearm'; 'One arm'],['Typing'],Voluntarily,Construction,['Food_TesterCivilian_Guard'; 'Ditch_Digger'; 'Computer_Repair'],11/8/2014,11/11/2018,NA
6291,Russian,22/1/1984,Single,5,BEHAVIOR,['Long legs'; 'Tattoo back'],['Construction'; 'Mechanical'],NA,NA,['Shoe_Tester'],1/3/2014,NA,6/15/2019
3239,Israeli,21/8/1975,Other,7,PARENTS,['Tattoo forearm'],['Typing'],Time,Farmer,['Food_TesterCivilian_Guard'; 'Farmer'],1/2/2010,9/28/2018,NA
2900,American,24/3/1969,Married,4,DEBT,['No teeth'; 'One arm'],['Computer'],NA,NA,['Shoe_Tester'],10/4/2016,NA,12/21/2019
649,Israeli,4/7/1965,Married,7,PARENTS,['Long legs'],['Electrical'; 'Construction'],Time,Shoe_Tester,['Farmer'],5/12/2012,10/27/2018,NA
1703,Russian,2/8/1965,Married,5,BEHAVIOR,['No teeth'],['Electrical'],Time,Computer_Repair,['Computer_Repair'; 'Office_Worker'; 'Computer_Repair'; 'Boulder_Reducer'; 'Shoe_Tester'; 'Shoe_Tester'],7/8/2010,5/25/2018,NA
5591,American,15/4/1995,Married,3,BEHAVIOR,['Dark skin'; 'Low IQ'],['Construction'; 'Electrical'],Voluntarily,Shoe_Tester,['Food_TesterCivilian_Guard'; 'Food_TesterCivilian_Guard'; 'Construction'; 'Office_Worker'; 'Farmer'],5/6/2016,4/13/2019,NA
1416,Russian,17/9/1975,Other,6,CULTURE,['Tattoo back'; 'Crafty'],['Mathematics'],Exhaustion,Farmer,['Farmer'; 'Ditch_Digger'; 'Shoe_Tester'; 'Food_TesterCivilian_Guard'; 'Shoe_Tester'; 'Ditch_Digger'],5/24/2014,5/14/2017,NA
2280,Russian,25/11/1975,Other,2,BEHAVIOR,['Scar on face'; 'Scar arm'],['Electrical'],NA,NA,['Construction'; 'Food_TesterCivilian_Guard'; 'Boulder_Reducer'],9/21/2016,NA,10/19/2019
1544,American,4/10/1969,Single,4,BEHAVIOR,['Crafty'],['Strong'; 'Mechanical'],Voluntarily,Shoe_Tester,NA,8/12/2010,8/12/2010,NA
1146,German,14/9/1987,Married,3,CULTURE,['Crafty'],['Computer'],Voluntarily,Boulder_Reducer,['Shoe_Tester'; 'Farmer'; 'Farmer'; 'Food_TesterCivilian_Guard'; 'Computer_Repair'; 'Computer_Repair'],11/11/2010,7/13/2018,NA
8644,American,21/4/1979,Other,7,BEHAVIOR,['Low IQ'],['Electrical'; 'Construction'],Time,Shoe_Tester,['Shoe_Tester'; 'Ditch_Digger'],9/19/2016,11/8/2017,NA
9511,Israeli,11/6/1995,Single,2,BEHAVIOR,['Scar arm'; 'Scar on face'],['Typing'],NA,NA,['Farmer'; 'Shoe_Tester'],9/18/2016,NA,2/2/2019
2886,American,5/3/1987,Other,2,BEHAVIOR,['Long legs'; 'Low IQ'],['Strong'; 'Construction'],Voluntarily,Farmer,['Shoe_Tester'; 'Office_Worker'],6/25/2010,9/11/2018,NA
7180,Russian,12/9/1984,Other,1,PARENTS,['One arm'; 'Low IQ'],['Mathematics'],Exhaustion,Boulder_Reducer,['Farmer'; 'Computer_Repair'],12/15/2012,3/27/2019,NA
1425,Israeli,15/1/1965,Single,4,BEHAVIOR,['Dark skin'],['Construction'],Exhaustion,Shoe_Tester,['Ditch_Digger'; 'Construction'; 'Boulder_Reducer'],7/20/2016,10/2/2019,NA
1309,Israeli,13/4/1984,Married,3,DEBT,['Crafty'; 'Scar arm'],['Shoe-making'; 'Strong'],Time,Farmer,['Boulder_Reducer'; 'Office_Worker'; 'Boulder_Reducer'; 'Shoe_Tester'; 'Construction'],11/5/2016,12/3/2019,NA
1150,English,27/9/1969,Other,0,DEBT,['Tattoo back'; 'No teeth'],['Strong'],Voluntarily,Food_TesterCivilian_Guard,['Ditch_Digger'],10/11/2014,9/11/2018,NA
7069,German,17/2/1995,Other,0,PARENTS,['No teeth'; 'Scar arm'],['Strong'; 'Electrical'],Voluntarily,Ditch_Digger,['Ditch_Digger'; 'Shoe_Tester'; 'Computer_Repair'; 'Boulder_Reducer'; 'Construction'; 'Office_Worker'],9/5/2010,10/28/2019,NA
9138,Ghanaian,26/7/1995,Married,4,BEHAVIOR,['Low IQ'],['Mathematics'; 'Computer'],Voluntarily,Ditch_Digger,NA,8/5/2010,8/5/2010,NA
1130,Russian,25/7/1987,Married,3,PARENTS,['One arm'],['Mechanical'; 'Electrical'],NA,NA,['Office_Worker'; 'Food_TesterCivilian_Guard'],11/4/2014,NA,5/20/2018
8022,Israeli,21/11/1979,Single,2,BEHAVIOR,['Scar arm'],['Computer'],Exhaustion,Ditch_Digger,['Farmer'; 'Farmer'; 'Food_TesterCivilian_Guard'],12/27/2012,2/9/2019,NA
9205,American,28/1/1985,Single,7,CULTURE,['Tattoo forearm'],['Construction'; 'Shoe-making'],Time,Shoe_Tester,['Shoe_Tester'; 'Boulder_Reducer'; 'Ditch_Digger'],6/18/2012,8/15/2019,NA
8529,American,1/10/1969,Married,3,DEBT,['One arm'],['Mathematics'],Time,Construction,['Ditch_Digger'; 'Boulder_Reducer'; 'Shoe_Tester'; 'Shoe_Tester'; 'Farmer'; 'Food_TesterCivilian_Guard'],6/21/2014,1/2/2018,NA
8951,German,28/6/1969,Single,0,PARENTS,['Tattoo forearm'; 'One arm'],['Computer'; 'Typing'],Voluntarily,Shoe_Tester,['Office_Worker'; 'Ditch_Digger'; 'Boulder_Reducer'; 'Construction'],7/4/2010,3/5/2019,NA
2016,American,25/5/1995,Other,4,DEBT,['Tattoo forearm'; 'Scar arm'],['Computer'],Exhaustion,Construction,['Shoe_Tester'; 'Farmer'; 'Farmer'; 'Construction'; 'Shoe_Tester'],12/26/2014,7/6/2019,NA
1308,Italian,10/7/1985,Married,3,DEBT,['Tattoo back'],['Mechanical'; 'Strong'],Exhaustion,Food_TesterCivilian_Guard,NA,1/23/2012,1/23/2012,NA
2522,Italian,4/7/1984,Other,4,DEBT,['Tattoo back'],['Computer'; 'Construction'],NA,NA,['Farmer'],9/2/2016,NA,7/27/2017
9921,German,28/8/1969,Other,4,DEBT,['Tattoo forearm'],['Strong'],Exhaustion,Farmer,['Farmer'; 'Shoe_Tester'; 'Computer_Repair'; 'Computer_Repair'; 'Construction'; 'Construction'],2/5/2010,10/8/2017,NA
3220,Italian,25/2/1987,Other,4,PARENTS,['Long legs'],['Construction'],Exhaustion,Boulder_Reducer,['Boulder_Reducer'; 'Shoe_Tester'; 'Office_Worker'; 'Office_Worker'; 'Boulder_Reducer'; 'Food_TesterCivilian_Guard'],10/23/2016,8/21/2019,NA
6739,Israeli,8/3/1987,Single,1,DEBT,['Scar arm'],['Typing'],NA,NA,['Construction'],9/26/2016,NA,1/7/2017
8673,Israeli,23/2/1984,Married,3,BEHAVIOR,['No teeth'; 'Tattoo forearm'],['Electrical'],Time,Office_Worker,['Shoe_Tester'; 'Farmer'; 'Construction'],8/20/2010,3/25/2017,NA
6626,Ghanaian,18/5/1979,Other,1,CULTURE,['Tattoo forearm'],['Strong'; 'Typing'],NA,NA,['Office_Worker'; 'Farmer'; 'Ditch_Digger'],8/11/2012,NA,6/7/2019
7993,Russian,12/10/1969,Single,1,DEBT,['Tattoo back'; 'No teeth'],['Electrical'],Voluntarily,Shoe_Tester,['Computer_Repair'; 'Construction'],7/22/2010,7/6/2018,NA
8053,German,22/11/1979,Other,1,PARENTS,['Scar on face'; 'Tattoo back'],['Typing'],NA,NA,['Food_TesterCivilian_Guard'; 'Farmer'; 'Ditch_Digger'],2/27/2012,NA,1/6/2018
4357,Italian,20/3/1969,Married,4,BEHAVIOR,['Scar arm'],['Mechanical'],Voluntarily,Ditch_Digger,['Boulder_Reducer'; 'Farmer'; 'Computer_Repair'; 'Boulder_Reducer'; 'Construction'],9/5/2014,1/22/2019,NA
979,Russian,5/12/1985,Single,6,DEBT,['Scar on face'; 'One arm'],['Electrical'; 'Mathematics'],Time,Ditch_Digger,['Computer_Repair'; 'Office_Worker'],9/8/2016,10/28/2018,NA
5225,German,8/12/1995,Single,4,BEHAVIOR,['Scar on face'],['Shoe-making'; 'Electrical'],Time,Office_Worker,['Office_Worker'],7/10/2016,1/13/2017,NA
434,Ghanaian,23/6/1969,Other,3,PARENTS,['Scar arm'],['Typing'; 'Shoe-making'],NA,NA,['Office_Worker'; 'Farmer'],12/5/2010,NA,12/15/2017
9215,American,10/1/1979,Single,1,DEBT,['Tattoo back'; 'Low IQ'],['Electrical'],NA,NA,['Food_TesterCivilian_Guard'],2/18/2014,NA,11/12/2019
1934,Russian,15/9/1985,Other,4,DEBT,['One arm'],['Strong'; 'Electrical'],Voluntarily,Ditch_Digger,['Farmer'; 'Food_TesterCivilian_Guard'; 'Construction'; 'Food_TesterCivilian_Guard'],6/1/2010,3/6/2019,NA
5007,Russian,12/12/1984,Single,7,BEHAVIOR,['Scar on face'],['Mathematics'],Exhaustion,Construction,NA,2/17/2010,2/17/2010,NA
4747,English,12/9/1969,Single,2,PARENTS,['Scar on face'],['Construction'],Time,Computer_Repair,NA,3/10/2014,3/10/2014,NA
3746,Israeli,14/5/1975,Other,3,CULTURE,['Scar arm'; 'Long legs'],['Typing'],Voluntarily,Shoe_Tester,['Food_TesterCivilian_Guard'],6/18/2014,2/21/2018,NA
2753,Ghanaian,16/10/1985,Married,6,BEHAVIOR,['No teeth'],['Mathematics'],Voluntarily,Office_Worker,NA,3/24/2014,3/24/2014,NA
8316,American,27/3/1969,Other,0,CULTURE,['Low IQ'; 'Tattoo back'],['Mathematics'; 'Computer'],NA,NA,['Farmer'],3/16/2012,NA,9/5/2019
1247,German,27/12/1987,Single,4,BEHAVIOR,['Long legs'; 'Scar on face'],['Mathematics'],Time,Shoe_Tester,['Construction'],3/27/2014,4/26/2018,NA
1636,American,26/5/1965,Single,4,PARENTS,['Crafty'; 'Crafty'],['Mathematics'; 'Typing'],Exhaustion,Construction,['Computer_Repair'; 'Farmer'; 'Boulder_Reducer'; 'Ditch_Digger'],9/18/2010,1/28/2019,NA
6539,German,4/12/1985,Single,0,BEHAVIOR,['Dark skin'; 'One arm'],['Shoe-making'; 'Computer'],Time,Construction,['Construction'; 'Computer_Repair'; 'Farmer'; 'Farmer'; 'Construction'],5/4/2016,12/12/2019,NA
631,German,16/11/1995,Other,3,DEBT,['Crafty'; 'Scar arm'],['Electrical'],NA,NA,['Construction'],8/23/2016,NA,11/23/2019
6151,English,6/6/1975,Other,5,DEBT,['Dark skin'; 'One arm'],['Mechanical'],NA,NA,['Farmer'; 'Shoe_Tester'; 'Construction'],7/16/2012,NA,11/22/2019
7235,Russian,25/4/1969,Married,0,CULTURE,['Crafty'],['Computer'; 'Mathematics'],Exhaustion,Farmer,NA,9/8/2016,9/8/2016,NA
4547,English,7/4/1965,Married,3,CULTURE,['Tattoo forearm'],['Electrical'; 'Electrical'],Voluntarily,Construction,NA,2/5/2012,2/5/2012,NA
9124,German,19/4/1975,Single,5,CULTURE,['Dark skin'; 'Long legs'],['Shoe-making'; 'Construction'],Time,Ditch_Digger,['Computer_Repair'; 'Farmer'; 'Computer_Repair'],4/11/2016,2/5/2018,NA
2889,English,19/5/1984,Other,4,BEHAVIOR,['Scar on face'; 'Scar arm'],['Construction'; 'Electrical'],Voluntarily,Food_TesterCivilian_Guard,['Farmer'; 'Computer_Repair'; 'Office_Worker'; 'Ditch_Digger'],6/5/2016,2/17/2018,NA
984,Ghanaian,11/2/1969,Single,3,PARENTS,['Low IQ'; 'Long legs'],['Mathematics'; 'Strong'],NA,NA,['Farmer'; 'Food_TesterCivilian_Guard'; 'Farmer'],6/22/2010,NA,8/25/2018
3797,English,5/7/1969,Other,2,BEHAVIOR,['No teeth'],['Electrical'; 'Mathematics'],NA,NA,['Ditch_Digger'],4/9/2010,NA,5/13/2019
1852,English,1/1/1984,Single,4,DEBT,['One arm'; 'Crafty'],['Construction'],NA,NA,['Office_Worker'; 'Ditch_Digger'; 'Construction'],4/20/2010,NA,10/14/2019
8686,Ghanaian,2/6/1975,Other,4,BEHAVIOR,['Long legs'],['Electrical'],Time,Office_Worker,['Ditch_Digger'; 'Shoe_Tester'],9/23/2014,3/11/2018,NA
3270,American,23/11/1975,Single,5,DEBT,['Crafty'; 'Low IQ'],['Computer'],NA,NA,['Food_TesterCivilian_Guard'],9/4/2016,NA,8/22/2017
8645,Russian,15/5/1975,Other,3,BEHAVIOR,['No teeth'],['Strong'; 'Mathematics'],Time,Construction,['Ditch_Digger'; 'Computer_Repair'],3/15/2010,5/10/2017,NA
2541,English,17/1/1984,Married,5,DEBT,['Tattoo back'],['Computer'; 'Mechanical'],Exhaustion,Construction,NA,6/8/2014,6/8/2014,NA
2237,American,7/11/1969,Married,7,PARENTS,['Tattoo forearm'],['Strong'],NA,NA,['Office_Worker'],8/15/2016,NA,12/10/2018
9298,English,26/10/1965,Other,1,CULTURE,['Crafty'],['Electrical'],Exhaustion,Food_TesterCivilian_Guard,['Computer_Repair'; 'Computer_Repair'; 'Shoe_Tester'],10/10/2012,2/12/2017,NA
6792,German,8/5/1987,Married,6,CULTURE,['No teeth'; 'Tattoo back'],['Strong'; 'Typing'],NA,NA,['Construction'; 'Farmer'; 'Food_TesterCivilian_Guard'],3/2/2010,NA,5/13/2019
256,Russian,24/4/1995,Married,5,PARENTS,['Scar on face'; 'Scar arm'],['Computer'],Time,Computer_Repair,['Shoe_Tester'; 'Boulder_Reducer'],9/10/2016,12/13/2018,NA
9922,Russian,16/7/1965,Other,2,CULTURE,['Dark skin'],['Shoe-making'],Time,Construction,['Construction'; 'Computer_Repair'; 'Farmer'; 'Ditch_Digger'],4/15/2010,3/26/2017,NA
8597,Ghanaian,24/6/1979,Married,6,PARENTS,['Tattoo back'; 'One arm'],['Strong'; 'Construction'],Voluntarily,Farmer,['Farmer'; 'Construction'; 'Shoe_Tester'],6/3/2016,3/15/2019,NA
9071,Israeli,10/9/1969,Single,4,BEHAVIOR,['Dark skin'; 'Low IQ'],['Strong'; 'Mechanical'],Exhaustion,Office_Worker,['Office_Worker'; 'Food_TesterCivilian_Guard'],7/21/2010,10/23/2018,NA
9962,Israeli,27/11/1969,Single,4,CULTURE,['Tattoo forearm'; 'No teeth'],['Strong'],Time,Farmer,['Boulder_Reducer'],3/15/2016,9/7/2019,NA
2562,English,24/1/1987,Other,5,DEBT,['Dark skin'],['Typing'; 'Construction'],Voluntarily,Office_Worker,['Boulder_Reducer'],3/15/2010,5/17/2019,NA
96,German,7/12/1984,Single,2,CULTURE,['Long legs'; 'Crafty'],['Shoe-making'],Voluntarily,Construction,['Construction'; 'Farmer'; 'Boulder_Reducer'; 'Boulder_Reducer'; 'Ditch_Digger'],12/11/2016,1/25/2017,NA
6930,Italian,19/5/1995,Married,6,BEHAVIOR,['Scar arm'; 'Scar arm'],['Mechanical'; 'Electrical'],Exhaustion,Farmer,['Boulder_Reducer'; 'Computer_Repair'],3/24/2016,8/24/2017,NA
2135,Russian,8/6/1984,Single,5,PARENTS,['Scar arm'; 'Crafty'],['Construction'],NA,NA,['Computer_Repair'; 'Farmer'; 'Ditch_Digger'],12/20/2016,NA,7/20/2017
4012,German,19/10/1987,Other,7,BEHAVIOR,['Long legs'],['Electrical'; 'Strong'],Exhaustion,Boulder_Reducer,NA,9/23/2016,9/23/2016,NA
2100,Italian,26/6/1985,Married,6,BEHAVIOR,['Tattoo forearm'; 'Low IQ'],['Mathematics'],Exhaustion,Construction,NA,1/15/2012,1/15/2012,NA
6869,English,22/11/1975,Other,3,DEBT,['One arm'; 'Long legs'],['Mathematics'],Exhaustion,Shoe_Tester,['Farmer'; 'Office_Worker'],6/23/2012,2/24/2018,NA
